Nº Protocolo;Código DRE;DRE;Processo ;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas;Vagas Berçário Contratadas;Valor Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Solicitação Parceria;Data Lavratura do Termo;Data do Encerramento
152021;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2021/0002794-9;800053;ASSOCIAÇÃO DOS AMIGOS DA ESCOLA E DA CIDADANIA FERNANDES;43.082.197/0001-68;400740;CEI INDIR - JOSIS;72;23;97840,83;0;0;11/02/2021;10/02/2026;Aprovado;18/01/2021;11/02/2021;
14482017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0054295-1;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;43.082.197/0001-68;400705;CEI INDIR - MAE DO BOM CONSELHO;143;55;176382,13;0;0;24/12/2022;23/12/2027;Aprovado;29/12/2017;24/12/2017;
2063;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.817-7;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;07.575.850/0001-67;400705;CEI INDIR - MAE DO BOM CONSELHO;153;41;89252,42;0;0;24/06/2015;23/12/2017;Encerrado;05/08/2015;24/06/2015;23/12/2017
840;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2008-0.266.309-1;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;03.072.993/0001-03;400705;CEI INDIR - MAE DO BOM CONSELHO;149;59;77855;0;0;24/12/2012;23/06/2015;Encerrado;29/07/2014;24/06/2010;23/06/2015
3032017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6015.2017/0046231-1;300468;GRAO DA VIDA;03.072.993/0001-03;400439;CEI INDIR - MANOEL BISPO DOS SANTOS;136;56;171044,36;0;0;01/01/2023;31/12/2027;Aprovado;27/10/2017;29/12/2017;
2090;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.136.000-7;300468;GRAO DA VIDA;62.915.459/0001-72;400439;CEI INDIR - MANOEL BISPO DOS SANTOS;128;50;80769,74;0;0;01/07/2015;31/12/2017;Encerrado;05/08/2015;01/07/2015;31/12/2017
810;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.507-3;300468;GRAO DA VIDA;04.036.639/0001-88;400439;CEI INDIR - MANOEL BISPO DOS SANTOS;130;32;66290;0;0;01/01/2013;30/06/2015;Encerrado;29/07/2014;28/12/2012;30/06/2015
14382017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0056629-0;300565;SOCIEDADE BENEFICENTE SAO CAMILO;09.118.844/0001-06;400397;CEI INDIR - MARIA NATIVIDADE MACHADO;175;83;216041,45;0;0;01/01/2023;31/12/2027;Aprovado;29/12/2017;29/12/2017;
2278;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.124.750-2;300565;SOCIEDADE BENEFICENTE SAO CAMILO;04.676.010/0001-00;400397;CEI INDIR - MARIA NATIVIDADE MACHADO;171;73;106854,73;0;0;21/07/2015;20/01/2018;Encerrado;09/10/2015;21/07/2015;31/12/2017
963;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.570-7;300565;SOCIEDADE BENEFICENTE SAO CAMILO;53.818.191/0001-60;400397;CEI INDIR - MARIA NATIVIDADE MACHADO;171;73;94200,2;0;0;08/02/2013;07/08/2015;Encerrado;31/07/2014;08/02/2013;20/07/2015
3072017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046242-7;300468;GRAO DA VIDA;56.098.460/0001-59;400789;CEI INDIR - MARINA VILLARES DA SILVA NOVAES;162;64;196357,92;0;0;01/01/2023;31/12/2027;Aprovado;27/10/2017;29/12/2017;
2285;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.167-7;300468;GRAO DA VIDA;43.987.809/0001-61;400789;CEI INDIR - MARINA VILLARES DA SILVA NOVAES;150;18;85329,66;0;0;21/07/2015;20/01/2018;Encerrado;13/10/2015;21/07/2015;31/12/2017
815;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.357.425-4;300468;GRAO DA VIDA;43.987.809/0001-61;400789;CEI INDIR - MARINA VILLARES DA SILVA NOVAES;150;18;75224,4;0;0;25/02/2013;24/08/2015;Encerrado;29/07/2014;25/02/2013;20/07/2015
1482017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0051927-5;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;09.118.844/0001-06;400398;CEI INDIR - NOSSA SENHORA DE GUADALUPE;185;69;217777,75;0;0;05/10/2022;04/10/2027;Aprovado;20/09/2017;04/10/2017;
2062;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.064.055-3;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;56.098.460/0001-59;400398;CEI INDIR - NOSSA SENHORA DE GUADALUPE;193;41;105999,62;0;0;05/04/2015;04/10/2017;Encerrado;05/08/2015;06/04/2015;04/10/2017
901;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.073.861-9;300311;CENTRO COMUNITARIO JARDIM AUTODROMO;53.818.191/0001-60;400398;CEI INDIR - NOSSA SENHORA DE GUADALUPE;193;41;90545;0;0;05/10/2012;04/04/2015;Encerrado;31/07/2014;05/04/2010;
1382018;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0056086-0;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;56.098.460/0001-59;400743;CEI INDIR - PAOLA;154;64;189722,24;0;0;01/01/2023;31/12/2027;Aprovado;11/01/2018;28/12/2017;
3764;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.297.759-8;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;01.435.552/0001-95;400743;CEI INDIR - PAOLA;202;73;125348,64;0;0;15/08/2016;14/02/2019;Encerrado;12/08/2016;12/08/2016;31/12/2017
803;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2011-0.138.510-0;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;53.818.191/0001-60;400743;CEI INDIR - PAOLA;202;73;110211,98;0;0;15/02/2014;14/08/2016;Encerrado;28/07/2014;15/08/2011;14/08/2016
612020;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2020/0020827-5;300516;MAMAE ASS ASSISTENCIA A CRIANCA SANTAMARENSE;53.818.191/0001-60;400877;CEI INDIR - PARQUE AMAZONAS;225;96;316325,16;0;0;07/04/2020;06/04/2025;Aprovado;19/03/2020;07/04/2020;
14412017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0055910-2;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;53.818.191/0001-60;400686;CEI INDIR - PARQUE AMERICA;128;36;155039,68;0;0;01/01/2023;31/12/2027;Aprovado;29/12/2017;29/12/2017;
2392;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.130-8;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;53.818.191/0001-60;400686;CEI INDIR - PARQUE AMERICA;122;36;77350,36;0;0;21/07/2015;20/01/2018;Encerrado;04/11/2015;21/07/2015;31/12/2017
698;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.085.811-3;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;53.818.191/0001-60;400686;CEI INDIR - PARQUE AMERICA;122;32;67390;0;0;10/04/2013;09/10/2015;Encerrado;21/07/2014;10/04/2013;20/07/2015
14002017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0054999-9;301004;NUCLEO DE PROMOCAO SOCIAL VENHA CONOSCO;53.818.191/0001-60;400787;CEI INDIR - PARQUE NOVO GRAJAU;231;87;264365,01;0;0;01/01/2023;31/12/2027;Aprovado;29/12/2017;29/12/2017;
938;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.237.363-0;301004;NUCLEO DE PROMOCAO SOCIAL VENHA CONOSCO;53.818.191/0001-60;400787;CEI INDIR - PARQUE NOVO GRAJAU;217;48;126057,39;0;0;13/06/2016;12/12/2018;Encerrado;31/07/2014;13/12/2013;31/12/2017
14372017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0056136-0;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400362;CEI INDIR - PARQUE RESIDENCIAL COCAIA - GRAJAU;165;69;201188,55;0;0;01/01/2023;31/12/2027;Aprovado;29/12/2017;29/12/2017;
2283;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.124.772-3;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400362;CEI INDIR - PARQUE RESIDENCIAL COCAIA - GRAJAU;167;71;104677,71;0;0;21/07/2015;20/01/2018;Encerrado;09/10/2015;21/07/2015;31/12/2017
961;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.560-0;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400362;CEI INDIR - PARQUE RESIDENCIAL COCAIA - GRAJAU;167;71;92281;0;0;08/02/2013;07/08/2015;Encerrado;31/07/2014;08/02/2013;20/07/2015
3062017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046240-0;300736;ASS SAO SABAS DE FILANTROPIA;53.818.191/0001-60;400739;CEI INDIR - PAULO FRANCISCO SECKLER PUCCA;183;36;200659,98;0;0;01/01/2023;31/12/2027;Aprovado;27/10/2017;27/12/2017;
2403;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.117-0;300736;ASS SAO SABAS DE FILANTROPIA;53.818.191/0001-60;400739;CEI INDIR - PAULO FRANCISCO SECKLER PUCCA;183;36;103630,38;0;0;21/07/2015;20/01/2018;Encerrado;05/11/2015;21/07/2015;31/12/2017
847;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.130.015-9;300736;ASS SAO SABAS DE FILANTROPIA;53.818.191/0001-60;400739;CEI INDIR - PAULO FRANCISCO SECKLER PUCCA;183;36;91357,8;0;0;27/05/2013;26/11/2015;Encerrado;29/07/2014;27/05/2013;20/07/2015
13922017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0055201-9;300082;ASS COMUNITARIA AURI VERDE;60.597.044/0001-72;400740;CEI INDIR - VERA LUCIA;79;18;83156,86;0;0;01/01/2018;31/12/2022;Encerrado;29/12/2017;29/12/2017;19/12/2020
2600;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.297.483-1;300082;ASS COMUNITARIA AURI VERDE;48.118.384/0001-78;400740;CEI INDIR - VERA LUCIA;70;;45975,1;0;0;04/03/2016;03/09/2018;Encerrado;04/03/2016;03/03/2016;31/12/2017
741;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.300.766-6;300082;ASS COMUNITARIA AURI VERDE;04.427.955/0001-80;400740;CEI INDIR - VERA LUCIA;70;;38972;0;0;04/09/2013;03/03/2016;Encerrado;24/07/2014;04/03/2011;03/03/2016
14422017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0055884-0;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;04.427.955/0001-80;306267;CR.P.CONV - A MAO COOPERADORA;126;53;161344,41;0;0;01/01/2023;31/12/2027;Aprovado;29/12/2017;01/01/2018;
2064;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.775-8;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;48.118.384/0001-78;306267;CR.P.CONV - A MAO COOPERADORA;139;41;83390,9;0;0;01/07/2015;31/12/2017;Encerrado;05/08/2015;01/07/2015;31/12/2017
683;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.441-7;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;60.975.737/0001-51;306267;CR.P.CONV - A MAO COOPERADORA;134;38;68780;0;0;01/01/2013;30/06/2015;Encerrado;18/07/2014;26/12/2012;30/06/2015
3042017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046232-0;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;08.875.744/0001-61;400479;CR.P.CONV - A MAO COOPERADORA - NUCLEO VILA NATAL;107;18;138275,26;9955;0;01/01/2023;31/12/2027;Aprovado;27/10/2017;29/12/2017;
673;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.228.838-1;300002;A MAO COOPERADORA OBRAS SOCIAIS E EDUCACIONAIS;60.975.737/0001-51;400479;CR.P.CONV - A MAO COOPERADORA - NUCLEO VILA NATAL;116;;78001,87;8884,93;0;01/03/2016;01/09/2018;Encerrado;18/07/2014;30/08/2013;31/12/2017
3052019;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2019/0076755-8;300745;CENTRO DE AMPARO E REABILITACAO CANAA;60.975.737/0001-51;309542;CR.P.CONV - AGAPE;227;117;305511,57;30410,9;0;02/12/2019;28/11/2024;Aprovado;22/11/2019;02/12/2019;
2273;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.189.604-7;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;04.941.695/0001-67;308441;CR.P.CONV - ALICE DE SOUZA LIMA;190;102;121619,54;0;0;24/07/2015;23/01/2018;Encerrado;09/10/2015;24/07/2015;30/06/2016
312022;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2022/0081203-6;300160;ASS DE LUTAS E PROMOCAO SOCIAL JARDIM ROBRU;55.050.546/0001-49;309222;CR.P.CONV - ALPS PARELHEIROS I;260;128;324710,71;17084,9;0,01;15/08/2022;14/08/2027;Aprovado;15/08/2022;15/08/2022;
14512017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0056088-7;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;12.409.774/0001-50;308081;CR.P.CONV - ALVORADA;210;70;221691,9;27500;0;01/01/2018;31/12/2022;Encerrado;29/12/2017;28/12/2017;01/01/2020
792;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.237.357-5;300249;CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL;07.185.482/0001-40;308081;CR.P.CONV - ALVORADA;270;105;197306,6;27500;0;23/10/2016;22/04/2019;Encerrado;28/07/2014;16/05/2014;31/12/2017
1452018;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0057240-0;300327;CENTRO SOCIAL SAO JOSE;57.184.723/0001-05;306268;CR.P.CONV - ANA DE FATIMA;104;32;107414,4;0;0;01/01/2018;31/12/2022;Encerrado;11/01/2018;28/12/2017;18/01/2019
152019;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2019/0006499-9;300709;INSTITUTO VIVA MELHOR;57.184.723/0001-05;309323;CR.P.CONV - ANA DE FATIMA;107;58;147058,26;0;0;19/02/2019;18/02/2024;Aprovado;18/02/2019;19/02/2019;
2065;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.135.861-4;300327;CENTRO SOCIAL SAO JOSE;57.184.723/0001-05;306268;CR.P.CONV - ANA DE FATIMA;104;32;66213,1;0;0;01/07/2015;31/12/2017;Encerrado;05/08/2015;01/07/2015;31/12/2017
941;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.505-7;300327;CENTRO SOCIAL SAO JOSE;55.871.974/0001-32;306268;CR.P.CONV - ANA DE FATIMA;104;32;56466;0;0;01/01/2013;30/06/2015;Encerrado;31/07/2014;28/12/2012;30/06/2015
3062019;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2019/0081597-8;300822;INSTITUTO DE VALORIZACAO COMUNITARIA;55.871.974/0001-32;309538;CR.P.CONV - ANA PAULA ANDRADE;132;64;191957,06;20482,94;0;02/12/2019;28/11/2024;Aprovado;22/11/2019;02/12/2019;
2932017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0056030-5;300265;ASSOCIACAO NOSSO CAMINHO;55.871.974/0001-32;308430;CR.P.CONV - ANGELINA;270;100;273724,43;27673,03;0;01/01/2018;31/12/2022;Encerrado;27/10/2017;29/12/2017;08/01/2020
2252;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.182.562-0;300265;ASSOCIACAO NOSSO CAMINHO;60.975.737/0001-51;308430;CR.P.CONV - ANGELINA;251;105;176253,2;27673,03;0;24/07/2015;23/01/2018;Encerrado;18/09/2015;24/07/2015;31/12/2017
162021;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2021/0003472-4;800442;ASSOCIAÇÃO FILANTRÓPICA DE EQUOTERAPIA ARCO IRIS;60.975.737/0001-51;400572;CR.P.CONV - ANNABEL;122;17;154229,84;13067,47;0;11/02/2021;10/02/2026;Aprovado;19/01/2021;11/02/2021;
2812017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046135-8;300090;ASS COMUNITARIA CANTINHO DO CEU;60.975.737/0001-51;307462;CR.P.CONV - ANTONIA MAMBELLI;167;57;174934,71;14673,26;0;01/01/2018;31/12/2022;Encerrado;27/10/2017;28/12/2017;06/01/2021
2573;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.341.681-6;300090;ASS COMUNITARIA CANTINHO DO CEU;55.871.974/0001-32;307462;CR.P.CONV - ANTONIA MAMBELLI;195;57;133037,87;14673,26;0;10/01/2016;09/07/2018;Encerrado;03/02/2016;29/12/2015;31/12/2017
1076;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2010-0.201.555-0;300090;ASS COMUNITARIA CANTINHO DO CEU;55.871.974/0001-32;307462;CR.P.CONV - ANTONIA MAMBELLI;195;75;115848,13;12132,73;0;10/07/2013;09/01/2016;Encerrado;06/08/2014;10/01/2011;09/01/2016
4795;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2016-0.097.089-0;300581;SOCIEDADE BENEFICENTE EQUILIBRIO DE INTERLAGOS - SOBEI;55.871.974/0001-32;308738;CR.P.CONV - ARAUCARIAS;215;118;173159,91;25698,19;0;15/12/2016;14/06/2019;Encerrado;19/09/2016;15/12/2016;31/12/2017
2892017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046158-7;300822;INSTITUTO DE VALORIZACAO COMUNITARIA;57.184.723/0001-05;308279;CR.P.CONV - AS PRINCESAS;222;92;295026,78;35784,66;0;16/05/2023;15/12/2027;Aprovado;27/10/2017;15/12/2017;
1973;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.086.934-8;300822;INSTITUTO DE VALORIZACAO COMUNITARIA;57.184.723/0001-05;308279;CR.P.CONV - AS PRINCESAS;246;70;161633,83;27050,25;0;16/06/2015;15/12/2017;Encerrado;26/06/2015;16/06/2015;15/12/2017
13872017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0055454-2;300082;ASS COMUNITARIA AURI VERDE;57.184.723/0001-05;400572;CR.P.CONV - AURI VERDE - COCAIA;175;53;178809,55;13067,47;1611,23;01/01/2018;31/12/2022;Encerrado;29/12/2017;29/12/2017;19/12/2020
1217;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.178.490-5;300082;ASS COMUNITARIA AURI VERDE;09.118.844/0001-06;400572;CR.P.CONV - AURI VERDE - COCAIA;129;;89074,07;8579;0;10/02/2017;09/08/2019;Encerrado;15/09/2014;01/08/2014;31/12/2017
13902017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0055521-2;300082;ASS COMUNITARIA AURI VERDE;09.118.844/0001-06;306808;CR.P.CONV - AURI VERDE - NOVO VARGINHA;170;70;176231,9;9000;0;01/01/2018;31/12/2022;Encerrado;29/12/2017;29/12/2017;19/12/2020
939;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2014-0.178.492-1;300082;ASS COMUNITARIA AURI VERDE;09.118.844/0001-06;306808;CR.P.CONV - AURI VERDE - NOVO VARGINHA;140;42;102290,07;5683,35;0;01/02/2017;31/07/2019;Encerrado;31/07/2014;01/08/2014;31/12/2017
192022;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2022/0077643-9;300736;ASS SAO SABAS DE FILANTROPIA;62.915.459/0001-72;309651;CR.P.CONV - AVELINO DE CARVALHO;210;95;276426,53;25732,57;0,01;02/08/2022;01/08/2027;Aprovado;19/07/2022;02/08/2022;
13942017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0055119-5;300082;ASS COMUNITARIA AURI VERDE;52.582.202/0001-92;308424;CR.P.CONV - BENTIVI;118;45;130221,65;7662,6;0;01/01/2018;31/12/2022;Encerrado;29/12/2017;29/12/2017;19/12/2020
2245;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.749-7;300082;ASS COMUNITARIA AURI VERDE;52.582.202/0001-92;308424;CR.P.CONV - BENTIVI;128;18;83514,22;7662,6;0;24/07/2015;23/01/2018;Encerrado;18/09/2015;24/07/2015;31/12/2017
142021;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2021/0002952-6;800442;ASSOCIAÇÃO FILANTRÓPICA DE EQUOTERAPIA ARCO IRIS;52.582.202/0001-92;306808;CR.P.CONV - BRAZ E MARIA;139;41;176684,84;10178,85;0;11/02/2021;10/02/2026;Aprovado;18/01/2021;11/02/2021;
2672017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046103-0;300277;CASA FREI REGINALDO DE ACOLHIDA A CRIANCA E AO IDOSO;01.435.552/0001-95;306544;CR.P.CONV - CAFRACI - NUCLEO I;162;35;148517,15;0;0;01/01/2018;31/12/2022;Encerrado;27/10/2017;28/12/2017;31/10/2019
2575;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.191-0;300277;CASA FREI REGINALDO DE ACOLHIDA A CRIANCA E AO IDOSO;01.435.552/0001-95;306544;CR.P.CONV - CAFRACI - NUCLEO I;163;36;95013,98;0;0;01/01/2016;30/06/2018;Encerrado;04/02/2016;30/12/2015;31/12/2017
2543;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.175.191-0;300277;CASA FREI REGINALDO DE ACOLHIDA A CRIANCA E AO IDOSO;60.975.737/0001-51;306544;CR.P.CONV - CAFRACI - NUCLEO I;163;36;83761,8;0;0;01/07/2013;31/12/2015;Encerrado;30/12/2015;01/07/2013;31/12/2015
758;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.141.705-6;300277;CASA FREI REGINALDO DE ACOLHIDA A CRIANCA E AO IDOSO;60.975.737/0001-51;306544;CR.P.CONV - CAFRACI - NUCLEO I;163;36;83761,8;0;0;01/07/2013;31/12/2015;Encerrado;25/07/2014;01/07/2013;30/12/2015
2692017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046106-4;300277;CASA FREI REGINALDO DE ACOLHIDA A CRIANCA E AO IDOSO;60.975.737/0001-51;306614;CR.P.CONV - CAFRACI - NUCLEO II;80;18;83950,7;0;0;01/01/2018;31/12/2022;Encerrado;27/10/2017;28/12/2017;31/10/2019
763;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.341.257-4;300277;CASA FREI REGINALDO DE ACOLHIDA A CRIANCA E AO IDOSO;55.050.546/0001-49;306614;CR.P.CONV - CAFRACI - NUCLEO II;60;9;42862,32;0;0;01/07/2016;31/12/2018;Encerrado;25/07/2014;30/12/2013;31/12/2017
1042017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0051827-9;300745;CENTRO DE AMPARO E REABILITACAO CANAA;55.050.546/0001-49;307849;CR.P.CONV - CANAA;89;23;121929,81;7481;0;04/09/2022;03/09/2027;Aprovado;24/08/2017;01/09/2017;
942;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2011-0.266.242-5;300745;CENTRO DE AMPARO E REABILITACAO CANAA;55.050.546/0001-49;307849;CR.P.CONV - CANAA;102;;64801,41;6548,49;0;04/03/2015;03/09/2017;Encerrado;31/07/2014;04/09/2012;03/09/2017
1402018;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0056473-4;300547;PROGRAMA COMUNITARIO DA RECONCILIACAO;67.841.643/0001-39;306490;CR.P.CONV - CANTINHO DA CRIANCA;105;36;134959,8;0;0;01/01/2023;31/12/2027;Aprovado;11/01/2018;26/12/2017;
2074;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.136.007-4;300547;PROGRAMA COMUNITARIO DA RECONCILIACAO;67.841.643/0001-39;306490;CR.P.CONV - CANTINHO DA CRIANCA;90;;52824;0;0;01/07/2015;31/12/2017;Encerrado;05/08/2015;01/07/2015;31/12/2017
962;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2012-0.315.512-0;300547;PROGRAMA COMUNITARIO DA RECONCILIACAO;67.841.643/0001-39;306490;CR.P.CONV - CANTINHO DA CRIANCA;90;;45420;0;0;01/01/2013;30/06/2015;Encerrado;31/07/2014;27/12/2012;30/06/2015
14042017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046135-8;300090;ASS COMUNITARIA CANTINHO DO CEU;01.435.552/0001-95;306675;CR.P.CONV - CANTINHO DO CEU;227;96;224546,8;9000;0;01/01/2018;31/12/2022;Encerrado;29/12/2017;28/12/2017;06/01/2021
2290;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2015-0.136.011-2;300090;ASS COMUNITARIA CANTINHO DO CEU;67.841.643/0001-39;306675;CR.P.CONV - CANTINHO DO CEU, CEI;132;;78691,29;5200,05;0;21/07/2015;20/01/2018;Encerrado;13/10/2015;21/07/2015;31/12/2017
839;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2013-0.035.170-1;300090;ASS COMUNITARIA CANTINHO DO CEU;52.582.202/0001-92;306675;CR.P.CONV - CANTINHO DO CEU, CEI;132;;69988,05;5200,05;0;01/03/2013;31/08/2015;Encerrado;29/07/2014;28/02/2013;20/07/2015
